name,data,table,sizey,sizex,type,type2,category
PI Ratio Thresholds,111930,111930,2,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (RPM),111928,111928,1,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (Load),11192c,11192c,1,,2D,synth2D,Fueling - Injector Ratio
GDI Pressure Multiplier C,111864,111864,1,,2D,synth2D,Fueling - GDI
Requested Torque Base,13c528,e20ec,23,,2D,2D,Drive-by-Wire Throttle (DBW)
Cranking Fuel Injector Pulse Width B (ECT),117e30,df908,3,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width E (ECT),117e98,df924,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width F (ECT),117ee0,df940,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width I (ECT),117f28,df95c,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width J (ECT),117f70,df978,2,16,3D,3D,Fueling - Cranking
Injector Minimum Open Time,111900,111900,1,,2D,synth2D,Fueling - Port Injectors
Engine Load Multiplier,111908,111908,1,,2D,synth2D,Mass Airflow / Engine Load
CPC Duty Multiplier,c64c,c64c,1,,2D,synth2D,CPC Solenoid
Engine Load Limiter A,104c6c,db8e0,9,,2D,2D,Mass Airflow / Engine Load
Engine Load Limiter B,104ca4,db8f4,9,,2D,2D,Mass Airflow / Engine Load
AVCS Base/Normal/Safe Hysteresis,1294b8,1294b8,2,,2D,synth2D,Variable Valve Timing (AVCS)
Idle Throttle Target for Airflow,13c6f0,e2170,34,,2D,2D,Idle Control
Idle Throttle Target B,13c5ec,e213c,7,,2D,2D,Idle Control
Idle Throttle Target C,13c624,e2150,10,,2D,2D,Idle Control
Idle Throttle Target D,13d984,e23dc,13,16,3D,3D,Idle Control
Failsafe Idle Throttle Target for Airflow,10c214,dd108,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target B,10c224,dd114,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target C,10c234,dd120,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target D,110714,ddb10,2,2,3D,3D,Idle Control
CL to OL Transition with Delay (Injector Load Threshold),114214,deba4,16,,2D,2D,Fueling - CL/OL Transition
Manifold Pressure Sensor Scaling A,1253c4,1253c4,2,,2D,synth2D,Manifold Pressure Sensor
Manifold Pressure Sensor Limits (CEL),125396,125396,2,,2D,synth2D,Manifold Pressure Sensor
Manifold Pressure Sensor CEL Delays,1252f3,1252f3,2,,2D,synth2D,Manifold Pressure Sensor
Primary Open Loop Fueling (Safe),1166d4,df56c,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling (Base),116890,df588,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling Minimum,116ea0,df710,23,13,3D,3D,Fueling - Primary Open Loop
Minimum Active Primary Open Loop Enrichment,111dc0,111dc0,1,,2D,synth2D,Fueling - Primary Open Loop
Front Oxygen Sensor Scaling A,126fac,e2a18,14,,2D,2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Scaling B,12701c,e2a24,14,,2D,2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Rich Limit,52d7c,52d7c,1,,2D,synth2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Compensation (Atm. Pressure),104e20,db96c,4,,2D,2D,Fueling - O2 Sensor #1
CL Fueling Unknown A,113cb4,de980,2,13,2D,2D,Fueling - Closed Loop
