name	dataaddr	tableaddr	sizey	sizex	type	category
PI Ratio Thresholds	111930	111930	2		2D	Fueling - Injector Ratio
PI Ratio Threshold (RPM)	111928		1		2D	Fueling - Injector Ratio
PI Ratio Threshold (Load)	11192c		1		2D	Fueling - Injector Ratio
GDI Pressure Multiplier C	111864	111864	1		2D	Fueling - GDI
Requested Torque Base	13c528	e20ec	23		2D	Drive-by-Wire Throttle (DBW)
Cranking Fuel Injector Pulse Width B (ECT)	117e30		3	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width E (ECT)	117e98		2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width F (ECT)	117ee0		2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width I (ECT)	117f28		2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width J (ECT)	117f70		2	16	3D	Fueling - Cranking
Injector Minimum Open Time	111900	111900	1		2D	Fueling - Port Injectors
Engine Load Multiplier	111908	111908	1		2D	Mass Airflow / Engine Load
CPC Duty Multiplier	c64c		1		2D	CPC Solenoid
Engine Load Limiter A	104c6c		9		2D	Mass Airflow / Engine Load
Engine Load Limiter B	104ca4		9		2D	Mass Airflow / Engine Load
AVCS Base/Normal/Safe Hysteresis	1294b8		2		2D	Variable Valve Timing (AVCS)
Idle Throttle Target for Airflow	13c6f0		34		2D	Idle Control
Idle Throttle Target B	13c5ec	e213c	7		2D	Idle Control
Idle Throttle Target C	13c624	e2150	10		2D	Idle Control
Idle Throttle Target D	13d984	e23dc	13	16	3D	Idle Control
Failsafe Idle Throttle Target for Airflow	10c214		2		2D	Idle Control
Failsafe Idle Throttle Target B	10c224	dd114	2		2D	Idle Control
Failsafe Idle Throttle Target C	10c234	dd120	2		2D	Idle Control
Failsafe Idle Throttle Target D	110714	ddb10	2	2	3D	Idle Control
CL to OL Transition with Delay (Injector Load Threshold)	114214		16		2D	Fueling - CL/OL Transition
Manifold Pressure Sensor Scaling A	1253c4	1253c4	2		2D	Manifold Pressure Sensor
Manifold Pressure Sensor Limits (CEL)	125396		2		2D	Manifold Pressure Sensor
Manifold Pressure Sensor CEL Delays	1252f3	1252f3	2		2D	Manifold Pressure Sensor
Primary Open Loop Fueling (Safe)	1166d4		23	13	3D	Fueling - Primary Open Loop
Primary Open Loop Fueling (Base)	116890		23	13	3D	Fueling - Primary Open Loop
Primary Open Loop Fueling Minimum	116ea0	df710	23	13	3D	Fueling - Primary Open Loop
Minimum Active Primary Open Loop Enrichment	111dc0		1		2D	Fueling - Primary Open Loop
Front Oxygen Sensor Scaling A	126fac		14		2D	Fueling - O2 Sensor #1
Front Oxygen Sensor Scaling B	12701c		14		2D	Fueling - O2 Sensor #1
Front Oxygen Sensor Rich Limit	52d7c	52d7c	1		2D	Fueling - O2 Sensor #1
Front Oxygen Sensor Compensation (Atm. Pressure)	104e20		4		2D	Fueling - O2 Sensor #1
CL Fueling Unknown A	113cb4	de980	2	13	2D	Fueling - Closed Loop
CL Fueling Unknown F	111b70		6	6	2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 1 A	115150		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 A	115200		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 A	1152b0		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 A	115370		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 A	1153e8		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 A	115444		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 A	1154a0		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 A	115518		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 A	115574		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 1 B	1151a8		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 B	115258		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 B	115308		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 B	1155d0		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 B	115648		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 B	1156a4		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 B	115700		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 B	11573c		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 B	1157d4		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 10	114b20	deed8	15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 A	113662		16		2D	Fueling - Closed Loop
