"Name","Location","Code Unit"
"CAN_0x3D1","0000cd10","can "
"CAN_0x7DF","0000cd1c","can "
"CAN_0x7E0","0000cd28","can "
"CAN_0x7E8","0000cd34","can "
"CAN_0x771","0000cd40","can "
"CAN_0x772","0000cd4c","can "
"CAN_0x773","0000cd58","can "
"CAN_0x774","0000cd64","can "
"CAN_0x775","0000cd70","can "
"CAN_0x140","0000cd7c","can "
"CAN_0x141","0000cd88","can "
"CAN_0x142","0000cd94","can "
"CAN_0x144","0000cda0","can "
"CAN_0x360","0000cdac","can "
"CAN_0x361","0000cdb8","can "
"CAN_0x4C1","0000cdc4","can "
"CAN_0xD1","0000cdd0","can "
"CAN_0xD2","0000cddc","can "
"CAN_0xD3","0000cde8","can "
"CAN_0xD4","0000cdf4","can "
"CAN_0x148","0000ce00","can "
"CAN_0x149","0000ce0c","can "
"CAN_0x14A","0000ce18","can "
"CAN_0x368","0000ce24","can "
"CAN_0x152","0000ce30","can "
"CAN_0x63B","0000ce3c","can "
"CAN_0x280","0000ce48","can "
"CAN_0x282","0000ce54","can "
"CAN_0x370","0000ce60","can "
"CAN_0x372","0000ce6c","can "
"CAN_0x720","0000ce78","can "
"CAN_0xD0","0000ce84","can "
"CAN_array","0000ce90","addr[32] "
"CEL_DATA_0000ebd6","0000ebd6","?? 00h"
"CEL_severity_array","0000ebd8","?? 02h"
"REG_PxCRy","00011a70","addr[25] "
"REG_PxDR","00011ad4","addr[13] "
"REG_PxPR","00011b08","addr[13] "
"REG_PxIR","00011b3c","addr[13] "
"REG_PxPSR","00011b70","addr[13] "
"REG_PxDSR","00011ba4","addr DAT_f0000000"
"query_2dtable_switch","00012580","addr[5] "
"query_3dtable_switch","00012604","addr[5] "
"FUN_MAF_00013b68","00013b68","extu.b index\,r0"
"FUN_MAF_00013c3a","00013c3a","movi20 #ENGINE_maf_root_maybe\,r1"
"Engine_Load_Limit_Maximum","00050868","float 4.0"
"Front_Oxygen_Sensor_Rich_Limit","00052d7c","float 0.75"
"PI_Ratio_00061cf0","00061cf0","float 0.5"
"CL_Fueling_Target_Comp_ECT_FUN_00066cae","00066cae","sts.l pr\,@-r15=>local_4"
