name,data,table,sizey,sizex,type,type2,category
PI Ratio Thresholds,10de50,10de50,2,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (RPM),10de48,10de48,1,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (Load),10de4c,10de4c,1,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (Unknown),10de60,10de60,1,,2D,synth2D,Fueling - Injector Ratio
GDI Pressure Multiplier C,10dd84,10dd84,1,,2D,synth2D,Fueling - GDI
Requested Torque Base,13c528,c1d0c,23,,2D,2D,Drive-by-Wire Throttle (DBW)
Cranking Fuel Injector Pulse Width B (ECT),1141dc,bf51c,3,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width E (ECT),114244,bf538,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width F (ECT),11428c,bf554,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width I (ECT),1142d4,bf570,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width J (ECT),11431c,bf58c,2,16,3D,3D,Fueling - Cranking
Injector Minimum Open Time,10de20,10de20,1,,2D,synth2D,Fueling - Port Injectors
Engine Load Multiplier,10de28,10de28,1,,2D,synth2D,Mass Airflow / Engine Load
CPC Duty Multiplier,c64c,c64c,1,,2D,synth2D,CPC Solenoid
Engine Load Limiter A,104240,bbd88,9,,2D,2D,Mass Airflow / Engine Load
Engine Load Limiter B,104278,bbd9c,9,,2D,2D,Mass Airflow / Engine Load
AVCS Base/Normal/Safe Hysteresis,125d4c,125d4c,2,,2D,synth2D,Variable Valve Timing (AVCS)
Idle Throttle Target for Airflow,13c6f0,c1d90,34,,2D,2D,Idle Control
Idle Throttle Target B,13c5ec,c1d5c,7,,2D,2D,Idle Control
Idle Throttle Target C,13c624,c1d70,10,,2D,2D,Idle Control
Idle Throttle Target D,13d984,c1ffc,13,16,3D,3D,Idle Control
Failsafe Idle Throttle Target for Airflow,10a7b8,bd1cc,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target B,10a7c8,bd1d8,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target C,10a7d8,bd1e4,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target D,10db2c,bd8f0,2,2,3D,3D,Idle Control
CL to OL Transition with Delay (Injector Load Threshold),110638,be7f8,16,,2D,2D,Fueling - CL/OL Transition
5V Sensor Limits (CEL) 0,121b30,121b30,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 1,121b34,121b34,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 2,121b38,121b38,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 3,121b3c,121b3c,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 4,121b12,121b12,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 5,121b16,121b16,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 6,121b1a,121b1a,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 8,121b2c,121b2c,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 9,121b40,121b40,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 10,10848e,10848e,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 11,121b20,121b20,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 12,1000d8,1000d8,2,,2D,synth2D,5V Sensor
5V Sensor Scaling 0 Multiplier,1000a0,1000a0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 0 Offset,1000a4,1000a4,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 1 Multiplier,1000a8,1000a8,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 1 Offset,1000ac,1000ac,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 2 Multiplier,121b54,121b54,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 2 Offset,1000b0,1000b0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 3 Multiplier,121b58,121b58,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 3 Offset,1000b4,1000b4,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 5 Multiplier,1000c0,1000c0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 5 Offset,1000c4,1000c4,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 6 Multiplier,121b64,121b64,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 6 Offset,121b68,121b68,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 7 Multiplier,1000dc,1000dc,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 7 Offset,1000e0,1000e0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 8 Multiplier,1000ec,1000ec,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 8 Offset,1000f0,1000f0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling Table 3,1231dc,c25a8,31,,2D,2D,5V Sensor
5V Sensor Scaling Table 4,123264,c25b4,3,,2D,2D,5V Sensor
5V Sensor Scaling Table 5,1000d4,,1,,2D,2D,5V Sensor
Manifold Pressure Sensor Scaling A,121b4c,121b4c,2,,2D,synth2D,Manifold Pressure Sensor
Manifold Pressure Sensor Limits (CEL),121b12,121b12,2,,2D,synth2D,Manifold Pressure Sensor
Manifold Pressure Sensor CEL Delays,121a8f,121a8f,2,,2D,synth2D,Manifold Pressure Sensor
Primary Open Loop Fueling A,112a80,bf180,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling B,112c3c,bf19c,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling Minimum,11324c,bf324,23,13,3D,3D,Fueling - Primary Open Loop
Minimum Active Primary Open Loop Enrichment,111dc0,,1,,2D,2D,Fueling - Primary Open Loop
Front Oxygen Sensor Scaling A,123668,c25fc,14,,2D,2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Scaling B,1236d8,c2608,14,,2D,2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Rich Limit,4f760,4f760,1,,2D,synth2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Compensation (Atm. Pressure),1043f4,bbe14,4,,2D,2D,Fueling - O2 Sensor #1
CL Fueling Unknown A,1100d8,be5d4,2,13,2D,2D,Fueling - Closed Loop
CL Fueling Unknown F,10e094,,6,6,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 1 A,111524,becd0,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 A,1115d4,bece8,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 A,111684,bed00,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 A,111744,bed18,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 A,1117bc,bed24,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 A,111818,bed30,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 A,111874,bed3c,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 A,1118ec,bed48,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 A,111948,bed54,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 1 B,11157c,becdc,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 B,11162c,becf4,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 B,1116dc,bed0c,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 B,1119a4,bed60,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 B,111a1c,bed6c,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 B,111a78,bed78,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 B,111ad4,bed84,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 B,111b4c,bed90,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 B,111ba8,bed9c,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 10,110f0c,beb20,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 A,10fa66,be0f8,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 B,10fafc,be15c,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 C,10fa86,be10c,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 12,10ee34,bdae0,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 13,1125bc,bf024,2,2,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 14,10fb00,be170,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 15,10ee0c,bdac0,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 16,10ee1c,bdacc,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 17,1125a0,bf008,2,5,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 18,10fc20,be21c,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 19,10fce0,be2a0,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 20,10fcec,be2b4,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 21,10fcf8,be2c8,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 22,10fd04,be2dc,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 23,10fc80,be250,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 24,10fca0,be264,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 25,10fcc8,be278,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 26,10fcd4,be28c,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 27,1125dc,bf040,2,5,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 A,10fba0,be1cc,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 A,10fbc0,be1e0,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 B,10fd28,be318,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 B,10fd34,be32c,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 C,10fbe0,be1f4,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 C,10fc00,be208,16,,2D,2D,Fueling - Closed Loop
CL Fueling Target Compensation A (Load),115c48,bfb08,11,11,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation B (Load),115d94,bfb24,11,11,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation A (ECT),115b24,bfad0,3,16,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation B (ECT),115b90,bfaec,3,16,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation (ECT) Disable,10e068,10e068,1,,2D,synth2D,Fueling - Closed Loop
CL to OL Transition with Delay (Base Pulse Width),1105d8,be7e4,16,,2D,2D,Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear),1186fc,1186fc,6,,2D,synth2D,Fueling - CL/OL Transition
Injector Latency,114424,bf66c,3,5,3D,3D,Fueling - Port Injectors
Injector Flow Scaling,10de24,10de24,1,,2D,synth2D,Fueling - Port Injectors
Injector Flow Scaling BRZ,10ddf0,10ddf0,1,,2D,synth2D,Fueling - Port Injectors
Per Injector Pulse Width Compensation A,113528,bf378,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation B,1135e8,bf394,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation C,1136a8,bf3b0,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation D,113768,bf3cc,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation E,113828,bf3e8,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation F,1138e8,bf404,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation G,1139a8,bf420,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation H,113a68,bf43c,12,9,3D,3D,Fueling - Port Injectors
Cranking Fuel IPW Compensation A (RPM),11239c,bef7c,2,2,3D,3D,Fueling - Cranking
Cranking Fuel IPW Compensation (MAP),10ed4c,bda24,10,,2D,2D,Fueling - Cranking
Cranking Fuel IPW Compensation (Accelerator),10ed70,bda38,6,,2D,2D,Fueling - Cranking
Cranking Fuel IPW Compensation (IAT),10ed8c,bda4c,5,,2D,2D,Fueling - Cranking
Throttle Tip-in Enrichment A,117a88,bfda8,3,18,3D,3D,Fueling - Tip-in Enrichment
Throttle Tip-in Enrichment B,117b48,bfdc4,3,18,3D,3D,Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation,10e548,10e548,1,,2D,synth2D,Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation (Throttle),10e53c,10e53c,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (RPM),10f3a0,bde40,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (MRP),10f3d4,bde54,9,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation A (ECT),10f3dd,bde68,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation B (ECT),117bc0,bfde0,3,16,3D,3D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation C (ECT),117c2c,bfdfc,3,16,3D,3D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT),110c94,be9c0,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) Activation,10e544,10e544,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold A (ECT),10f3ed,bde7c,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold B (ECT),10f3fd,bde88,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Applied Counter Reset,10db7e,10db7e,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold A (ECT),110cb4,be9d4,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold B (ECT),110cd4,be9e8,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Throttle Cumulative Reset,10db7f,10db7f,1,,2D,synth2D,Fueling - Tip-in Enrichment
A/F Learning #1 Limits,10e130,10e130,2,,2D,synth2D,Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges A,1113fc,1113fc,5,,2D,synth2D,Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges B,111424,111424,5,,2D,synth2D,Fueling - AF Correction / Learning
MAF Voltage Limits (CEL),121b26,121b26,2,,2D,synth2D,Mass Airflow / Engine Load
MAF Limit (Maximum),103d4c,103d4c,1,,2D,synth2D,Mass Airflow / Engine Load
MAF Sensor Scaling,123558,c25f0,54,,2D,2D,Mass Airflow / Engine Load
MAF Compensation (IAT),104e4c,bc06c,10,6,3D,3D,Mass Airflow / Engine Load
MAF Correction After Start (Neutral),11fd70,c1af8,8,14,3D,3D,Mass Airflow / Engine Load
MAF Correction After Start (In Gear),11fea8,c1b14,8,14,3D,3D,Mass Airflow / Engine Load
Engine Load Limit (Maximum),4d254,4d254,1,,2D,synth2D,Mass Airflow / Engine Load
Engine Load Compensation (MP),104f38,bc0a4,24,15,3D,3D,Mass Airflow / Engine Load
Base Timing A1,11a738,c0990,23,14,3D,3D,Ignition Timing - Advance
Base Timing A2,11a560,c0974,23,14,3D,3D,Ignition Timing - Advance
Base Timing B1,11aae8,c09c8,23,14,3D,3D,Ignition Timing - Advance
Base Timing B2,11a910,c09ac,23,14,3D,3D,Ignition Timing - Advance
Timing Unknown A,11999a,c0640,16,,2D,2D,Ignition Timing - Advance
Timing Unknown B,1199fa,c067c,16,,2D,2D,Ignition Timing - Advance
Timing Unknown C,119c38,c07d0,2,,2D,2D,Ignition Timing - Advance
Timing Unknown D1,1199da,c0668,16,,2D,2D,Ignition Timing - Advance
Timing Unknown D2,1199ba,c0654,16,,2D,2D,Ignition Timing - Advance
Timing Unknown E1,119218,c016c,16,,2D,2D,Ignition Timing - Advance
Timing Unknown E2,119258,c01a8,4,,2D,2D,Ignition Timing - Advance
Timing Unknown F1,119a1a,c0690,16,,2D,2D,Ignition Timing - Advance
Timing Unknown G1,119230,c0180,2,,2D,2D,Ignition Timing - Advance
Timing Unknown G2,119244,c0194,4,,2D,2D,Ignition Timing - Advance
Timing Unknown H,119a3a,c06a4,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle (In-Gear)(Above Speed Threshold),11a4a4,c093c,2,10,3D,3D,Ignition Timing - Advance
Base Timing Idle (In-Gear)(Below Speed Threshold),1190a8,c00cc,8,,2D,2D,Ignition Timing - Advance
Base Timing Idle (Neutral),1190d0,c00e0,8,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown A,1190fc,c00f4,9,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown B,119105,c0108,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown C,1192c8,c01f8,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle Vehicle Speed Threshold,118764,118764,1,,2D,synth2D,Ignition Timing - Advance
Knock Correction Advance Max A,11b808,c0dd4,23,14,3D,3D,Ignition Timing - Advance
Timing Compensation (IAT),119370,c0284,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation (IAT) Activation,11ad14,c0ae0,5,8,3D,3D,Ignition Timing - Compensation
Timing Compensation A (ECT),1192ee,c0234,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation B (ECT),1192fe,c0248,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation Per Cylinder A,11b490,c0cf4,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder B,11b548,c0d10,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder C,11b600,c0d2c,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder D,11b6b8,c0d48,6,16,3D,3D,Ignition Timing - Compensation
Timing Comp Minimum Load (Per Cylinder),1189a8,1189a8,1,,2D,synth2D,Ignition Timing - Compensation
Timing Comp Maximum RPM (Per Cylinder),1189a4,1189a4,1,,2D,synth2D,Ignition Timing - Compensation
Timing Comp Minimum Coolant Temp (Per Cylinder),1189ac,1189ac,1,,2D,synth2D,Ignition Timing - Compensation
Feedback Correction Range (RPM),1189b8,1189b8,4,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Minimum Load,1189b0,1189b0,2,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Retard Value,1189d8,1189d8,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Retard Limit,1189d4,1189d4,1,,2D,synth2D,Ignition Timing - Knock Control
