"Name","Location","Code Unit"
"CAN_0x3D1","0000cb1c","can "
"CAN_0x7DF","0000cb28","can "
"CAN_0x7E0","0000cb34","can "
"CAN_0x7E8","0000cb40","can "
"CAN_0x771","0000cb4c","can "
"CAN_0x772","0000cb58","can "
"CAN_0x773","0000cb64","can "
"CAN_0x774","0000cb70","can "
"CAN_0x775","0000cb7c","can "
"CAN_0x140","0000cb88","can "
"CAN_0x141","0000cb94","can "
"CAN_0x142","0000cba0","can "
"CAN_0x144","0000cbac","can "
"CAN_0x360","0000cbb8","can "
"CAN_0x361","0000cbc4","can "
"CAN_0x4C1","0000cbd0","can "
"CAN_0xD1","0000cbdc","can "
"CAN_0xD2","0000cbe8","can "
"CAN_0xD3","0000cbf4","can "
"CAN_0xD4","0000cc00","can "
"CAN_0x148","0000cc0c","can "
"CAN_0x149","0000cc18","can "
"CAN_0x14A","0000cc24","can "
"CAN_0x368","0000cc30","can "
"CAN_0x152","0000cc3c","can "
"CAN_0x63B","0000cc48","can "
"CAN_0x280","0000cc54","can "
"CAN_0x282","0000cc60","can "
"CAN_0x370","0000cc6c","can "
"CAN_0x372","0000cc78","can "
"CAN_0x720","0000cc84","can "
"CAN_0xD0","0000cc90","can "
"CAN_array","0000cc9c","addr[32] "
"CEL_DATA_0000e689","0000e68a","mov.b r0\,r3"
"5V_ARRAY_000111c5","000111c5","?? 00h"
"Engine_Load_Limit_Maximum","0004d254","float 4.0"
"Front_Oxygen_Sensor_Rich_Limit","0004f760","float 0.75"
"AF_3_CL_Target_Comp","00064700","float[2] "
"PTR_Fine_Correction_Cols_Load","00098ae0","float *[4] "
"PTR_Fine_Correction_Rows_Load","00098af0","float *[6] "
"AFR_Sensor_Heater_Protection","000bb404","2dmtable "
"AFR_Sensor_Heater_Limit","000bb4e8","3dmtable "
"Gear_Shift_Indicator_B_Speed","000bb5b0","2dmtable "
"Gear_Shift_Indicator_C_RPM","000bb5c4","2dmtable "
"Fuel_Multiplier_Offset","000bb614","2dmtable "
"Gear_Shift_Indicator_A_Load_RPM","000bb6d0","3dmtable "
"Calculated_Torque_A","000bb6ec","3dmtable "
"Calculated_Torque_B","000bb708","3dmtable "
"Requested_Torque_A","000bb9f4","3dmtable "
