name	dataaddr	tableaddr	sizey	sizex	type	category
PI Ratio Thresholds	1118c0	1118c0	2		2D	Fueling - Injector Ratio
PI Ratio Threshold (RPM)	1118b8		1		2D	Fueling - Injector Ratio
PI Ratio Threshold (Load)	1118bc		1		2D	Fueling - Injector Ratio
PI Ratio Threshold (Unknown)	62040		1		2D	Fueling - Injector Ratio
GDI Pressure Multiplier C	1117f4	1117f4	1		2D	Fueling - GDI
Requested Torque Base	13c528	e3998	23		2D	Drive-by-Wire Throttle (DBW)
Cranking Fuel Injector Pulse Width B (ECT)	117cac		3	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width E (ECT)	117d14		2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width F (ECT)	117d5c		2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width I (ECT)	117da4		2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width J (ECT)	117dec		2	16	3D	Fueling - Cranking
Injector Minimum Open Time	111890	111890	1		2D	Fueling - Port Injectors
Engine Load Multiplier	111898	111898	1		2D	Mass Airflow / Engine Load
CPC Duty Multiplier	c64c		1		2D	CPC Solenoid
Engine Load Limiter A	104c6c		9		2D	Mass Airflow / Engine Load
Engine Load Limiter B	104ca4		9		2D	Mass Airflow / Engine Load
AVCS Base/Normal/Safe Hysteresis	129620		2		2D	Variable Valve Timing (AVCS)
Idle Throttle Target for Airflow	13c6f0		34		2D	Idle Control
Idle Throttle Target B	13c5ec	e39e8	7		2D	Idle Control
Idle Throttle Target C	13c624	e39fc	10		2D	Idle Control
Idle Throttle Target D	13d984	e3c88	13	16	3D	Idle Control
Failsafe Idle Throttle Target for Airflow	10c210		2		2D	Idle Control
Failsafe Idle Throttle Target B	10c220	de9dc	2		2D	Idle Control
Failsafe Idle Throttle Target C	10c230	de9e8	2		2D	Idle Control
Failsafe Idle Throttle Target D	1107a8	df40c	2	2	3D	Idle Control
CL to OL Transition with Delay (Injector Load Threshold)	1141a8		16		2D	Fueling - CL/OL Transition
5V Sensor Limits (CEL) 0	125508		2		2D	5V Sensor
5V Sensor Limits (CEL) 1	12550c		2		2D	5V Sensor
5V Sensor Limits (CEL) 2	125510		2		2D	5V Sensor
5V Sensor Limits (CEL) 3	125514		2		2D	5V Sensor
5V Sensor Limits (CEL) 4	1254e8		2		2D	5V Sensor
5V Sensor Limits (CEL) 5	1254ec		2		2D	5V Sensor
5V Sensor Limits (CEL) 6	1254f0		2		2D	5V Sensor
5V Sensor Limits (CEL) 8	125504		2		2D	5V Sensor
5V Sensor Limits (CEL) 9	125518		2		2D	5V Sensor
5V Sensor Limits (CEL) 10	109022		2		2D	5V Sensor
5V Sensor Limits (CEL) 11	1254f8		2		2D	5V Sensor
5V Sensor Limits (CEL) 12	12551c		2		2D	5V Sensor
5V Sensor Scaling 0 Multiplier	1000a0		1		2D	5V Sensor
5V Sensor Scaling 0 Offset	1000a4		1		2D	5V Sensor
5V Sensor Scaling 1 Multiplier	1000a8		1		2D	5V Sensor
5V Sensor Scaling 1 Offset	1000ac		1		2D	5V Sensor
5V Sensor Scaling 2 Multiplier	125534		1		2D	5V Sensor
5V Sensor Scaling 2 Offset	1000b0		1		2D	5V Sensor
5V Sensor Scaling 3 Multiplier	125538		1		2D	5V Sensor
5V Sensor Scaling 3 Offset	1000b4		1		2D	5V Sensor
5V Sensor Scaling 5 Multiplier	1000c0		1		2D	5V Sensor
5V Sensor Scaling 5 Offset	1000c4		1		2D	5V Sensor
5V Sensor Scaling 6 Multiplier	125544		1		2D	5V Sensor
5V Sensor Scaling 6 Offset	125548		1		2D	5V Sensor
5V Sensor Scaling 7 Multiplier	1000cc		1		2D	5V Sensor
5V Sensor Scaling 7 Offset	1000d0		1		2D	5V Sensor
5V Sensor Scaling 8 Multiplier	1000dc		1		2D	5V Sensor
5V Sensor Scaling 8 Offset	1000e0		1		2D	5V Sensor
5V Sensor Scaling Table 3	126be0		31		2D	5V Sensor
5V Sensor Scaling Table 4	126c68		3		2D	5V Sensor
5V Sensor Scaling Table 5	126c80		3		2D	5V Sensor
Manifold Pressure Sensor Scaling A	12552c	12552c	2		2D	Manifold Pressure Sensor
Manifold Pressure Sensor Limits (CEL)	1254e8		2		2D	Manifold Pressure Sensor
Manifold Pressure Sensor CEL Delays	12545b	12545b	2		2D	Manifold Pressure Sensor
Primary Open Loop Fueling A	116550		23	13	3D	Fueling - Primary Open Loop
Primary Open Loop Fueling B	11670c		23	13	3D	Fueling - Primary Open Loop
Primary Open Loop Fueling Minimum	116d1c	e0f1c	23	13	3D	Fueling - Primary Open Loop
Minimum Active Primary Open Loop Enrichment	111d54		1		2D	Fueling - Primary Open Loop
Front Oxygen Sensor Scaling A	127114		14		2D	Fueling - O2 Sensor #1
Front Oxygen Sensor Scaling B	127184		14		2D	Fueling - O2 Sensor #1
Front Oxygen Sensor Rich Limit	52ff8	52ff8	1		2D	Fueling - O2 Sensor #1
Front Oxygen Sensor Compensation (Atm. Pressure)	104e20		4		2D	Fueling - O2 Sensor #1
CL Fueling Unknown A	113c48	e01dc	2	13	2D	Fueling - Closed Loop
CL Fueling Unknown F	111b04		6	6	2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 1 A	114fcc		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 A	11507c		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 A	11512c		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 A	1151ec		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 A	115264		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 A	1152c0		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 A	11531c		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 A	115394		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 A	1153f0		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 1 B	115024		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 B	1150d4		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 B	115184		11		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 B	11544c		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 B	1154c4		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 B	115520		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 B	11557c		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 B	1155f4		15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 B	115650		8		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 10	11499c	e06e4	15		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 A	1135f6		16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 B	11368c		2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 C	113616		16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 12	1129fc	df700	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 13	11608c	e0c1c	2	2	3D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 14	113690	dfd84	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 15	1129d4	df6e0	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 16	1129e4	df6ec	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 17	116070	e0c00	2	5	3D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 18	1137b0	dfe30	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 19	113870	dfeb4	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 20	11387c	dfec8	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 21	113888	dfedc	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 22	113894	dfef0	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 23	113810	dfe64	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 24	113830	dfe78	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 25	113858	dfe8c	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 26	113864	dfea0	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 27	1160ac	e0c38	2	5	3D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 A	113730		16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 A	113750		16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 B	1138b8		2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 B	1138c4		2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 C	113770		16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 C	113790		16		2D	Fueling - Closed Loop
CL Fueling Target Compensation A (Load)	11bf44		11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (Load)	119718		11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation C (Load)	119864		11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation A (ECT)	1195f4		3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (ECT)	119660		3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation (ECT) Disable	111ad8		1		2D	Fueling - Closed Loop
CL to OL Transition with Delay (Base Pulse Width)	114148		16		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear)	11c358		6		2D	Fueling - CL/OL Transition
Injector Latency	117ef4		3	5	3D	Fueling - Port Injectors
Injector Flow Scaling	111894	111894	1		2D	Fueling - Port Injectors
Injector Flow Scaling BRZ	111860	111860	1		2D	Fueling - Port Injectors
Per Injector Pulse Width Compensation A	116ff8		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation B	1170b8		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation C	117178		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation D	117238		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation E	1172f8		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation F	1173b8		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation G	117478		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation H	117538		12	9	3D	Fueling - Port Injectors
Cranking Fuel IPW Compensation A (RPM)	115e6c		2	2	3D	Fueling - Cranking
Cranking Fuel IPW Compensation (MAP)	112914		10		2D	Fueling - Cranking
Cranking Fuel IPW Compensation (Accelerator)	112938		6		2D	Fueling - Cranking
Cranking Fuel IPW Compensation (IAT)	112954		5		2D	Fueling - Cranking
Throttle Tip-in Enrichment A	11b558		3	18	3D	Fueling - Tip-in Enrichment
Throttle Tip-in Enrichment B	11b618		3	18	3D	Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation	111fc0		1		2D	Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation (Throttle)	111fb4		1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (RPM)	112f68		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (MRP)	112f9c		9		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation A (ECT)	112fa5		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation B (ECT)	11b690		3	16	3D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation C (ECT)	11b6fc		3	16	3D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT)	1146ec		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) Activation	111fbc		1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold A (ECT)	112fb5		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold B (ECT)	112fc5		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Applied Counter Reset	111660		1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold A (ECT)	11470c		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold B (ECT)	11472c		16		2D	Fueling - Tip-in Enrichment
Tip-in Throttle Cumulative Reset	111661		1		2D	Fueling - Tip-in Enrichment
A/F Learning #1 Limits	111ba0		2		2D	Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges A	114ea4		5		2D	Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges B	114ecc		5		2D	Fueling - AF Correction / Learning
MAF Voltage Limits (CEL)	1254fe		2		2D	Mass Airflow / Engine Load
MAF Limit (Maximum)	104770		1		2D	Mass Airflow / Engine Load
MAF Sensor Scaling	127004	e42b8	54		2D	Mass Airflow / Engine Load
MAF Compensation (IAT)	105878		10	6	3D	Mass Airflow / Engine Load
MAF Correction After Start (Neutral)	1235d4		8	14	3D	Mass Airflow / Engine Load
MAF Correction After Start (In Gear)	12370c		8	14	3D	Mass Airflow / Engine Load
Engine Load Limit (Maximum)	50ae4		1		2D	Mass Airflow / Engine Load
Engine Load Compensation (MP)	105964		24	15	3D	Mass Airflow / Engine Load
Base Timing A1	11e404		23	14	3D	Ignition Timing - Advance
Base Timing A2	11e22c		23	14	3D	Ignition Timing - Advance
Base Timing B1	11e7b4		23	14	3D	Ignition Timing - Advance
Base Timing B2	11e5dc		23	14	3D	Ignition Timing - Advance
Timing Unknown A	11d606	e227c	16		2D	Ignition Timing - Advance
