"Name","Location","Code Unit"
"CAN_0x3D7","0000cd10","can "
"CAN_0x7DF","0000cd1c","can "
"CAN_0x7E0","0000cd28","can "
"CAN_0x7E8","0000cd34","can "
"CAN_0x771","0000cd40","can "
"CAN_0x772","0000cd4c","can "
"CAN_0x773","0000cd58","can "
"CAN_0x774","0000cd64","can "
"CAN_0x775","0000cd70","can "
"CAN_0x140","0000cd7c","can "
"CAN_0x141","0000cd88","can "
"CAN_0x142","0000cd94","can "
"CAN_0x144","0000cda0","can "
"CAN_0x360","0000cdac","can "
"CAN_0x361","0000cdb8","can "
"CAN_0x4C1","0000cdc4","can "
"CAN_0xD1","0000cdd0","can "
"CAN_0xD2","0000cddc","can "
"CAN_0xD3","0000cde8","can "
"CAN_0xD4","0000cdf4","can "
"CAN_0x148","0000ce00","can "
"CAN_0x149","0000ce0c","can "
"CAN_0x14A","0000ce18","can "
"CAN_0x368","0000ce24","can "
"CAN_0x152","0000ce30","can "
"CAN_0x63B","0000ce3c","can "
"CAN_0x280","0000ce48","can "
"CAN_0x282","0000ce54","can "
"CAN_0x370","0000ce60","can "
"CAN_0x372","0000ce6c","can "
"CAN_0x720","0000ce78","can "
"CAN_0xD0","0000ce84","can "
"CAN_array","0000ce90","addr[32] "
"CEL_array_E592_0000e4bc","0000e4bc","addr[4] "
"REG_PxCRy","00011ab4","addr[25] "
"REG_PxDR","00011b18","addr[13] "
"REG_PxPR","00011b4c","addr[13] "
"REG_PxIR","00011b80","addr[13] "
"REG_PxPSR","00011bb4","addr[13] "
"5V_ARRAY_00011ebd","00011ebd","??[14][12] "
"3dmquery_TYPES","00012648","ulong func(void) *[5] "
"Engine_Load_Limit_Maximum","00050ae4","float 4.0"
"Front_Oxygen_Sensor_Rich_Limit","00052ff8","float 0.75"
"AF_3_CL_Target_Comp","0006a000","float[2] "
"AF_3_Correction_Limits","0006aaf0","float[2] "
"PTR_ENGINE_iam_0007a79c","0007a79c","float[2] * ENGINE_iam"
"Exhaust_Duty_Unknown","000a1510","float 9.0"
"Exhaust_Duty_Unknown","000a170c","float 16.0"
"Exhaust_Duty_Unknown","000a1718","float 5.0"
"PTR_Fine_Correction_Cols_Load","000a3604","float *[4] "
"Fine_Correction_Rows_Load","000a3614","float *[6] "
"AFR_Sensor_Heater_Protection","000dc6c8","2dmtable "
"AFR_Sensor_Heating_Limit","000dc7ac","3dmtable "
"Gear_Shift_Indicator_B_Speed","000dc9d0","2dmtable "
"Gear_Shift_Indicator_C_RPM","000dc9e4","2dmtable "
"Fuel_Multiplier_Offset","000dca34","2dmtable "
"GEAR_load_adj_A_table","000dca90","2dtable "
"GEAR_load_adj_B_table","000dca9c","2dtable "
"Gear_Shift_Indicator_A_Load_RPM","000dcaf0","3dmtable "
"Calculated_Torque_A","000dcb0c","3dmtable "
"Calculated_Torque_B","000dcb28","3dmtable "
"Requested_Torque_A","000dce14","3dmtable "
"Engine_Load_Limiter_A_table","000dd1a8","2dmtable "
"Engine_Load_Limiter_B_table","000dd1bc","2dmtable "
"Post_Cranking_Load_Initial_Reference_Coolant","000dd1f8","2dmtable "
"Front_Oxygen_Sensor_Comp_table","000dd234","2dmtable "
"MAF_Compensation_IAT_table","000dd48c","3dmtable "
"Engine_Load_Compensation_table","000dd4c4","3dmtable "
"Cylinder_Fill_Percentage_table","000dda04","3dmtable "
"Solenoid_Control","000ddcb8","3dmtable "
"Solenoid_Duty","000ddcd4","3dmtable "
"Misfire_Count_MAP_Threshold_A","000ddd4c","2dmtable "
"Misfire_Count_MAP_Threshold_B","000ddd60","2dmtable "
"ECT_Unknown_B","000de8ec","2dtable "
"Failsafe_Idle_Throttle_Target_For_Airflow","000de9d0","2dtable "
"Failsafe_Idle_Throttle_Target_B","000de9dc","2dtable "
"Failsafe_Idle_Throttle_Target_C","000de9e8","2dtable "
"Misfire_DTC_Threshold","000dec64","3dtable "
"Failsafe_Idle_Throttle_Target_D","000df40c","3dtable "
"Cranking_Fuel_IPW_Comp_MAP","000df644","2dmtable "
"Cranking_Fuel_IPW_Comp_Accelerator","000df658","2dmtable "
"Cranking_Fuel_IPW_Comp_IAT","000df66c","2dmtable "
"DiPi_Fueling_ECT_Unknown_15","000df6e0","2dtable "
"DiPi_Fueling_ECT_Unknown_16","000df6ec","2dmtable "
"DiPi_Fueling_ECT_Unknown_12","000df700","2dmtable "
"dipi_ect_ratio_A","000df714","2dmtable "
"CL_Fueling_Transient_Unknown_P_RPM","000df728","2dmtable "
"CL_Fueling_Transient_Unknown_V_RPM","000df73c","2dmtable "
"CL_Fueling_Transient_Unknown_K_ECT","000df750","2dmtable "
"AFR_Minimum_Correction","000df7d4","2dmtable "
"AFR_Maximum_Correction","000df7e8","2dmtable "
"Primary_Open_Loop_Unknown_B_Base","000df8bc","2dmtable "
"Low_Fueling_Comp_RPM","000df970","2dmtable "
"Low_Fueling_Comp_ECT","000df984","2dmtable "
"Low_Pulse_Width_Fuel_Injector_Comp_table","000dfa4c","2dmtable "
"Throttle_Tip_In_Enrichment_Comp_RPM","000dfa60","2dmtable "
"Throttle_Tip_In_Enrichment_Comp_MRP","000dfa74","2dmtable "
"Throttle_Tip_In_Enrichment_Comp_A_ECT","000dfa88","2dmtable "
"Tip_In_Enrichment_Disable_Applied_Counter_Threshold_A_ECT","000dfa9c","2dtable "
"Tip_In_Enrichment_Disable_Applied_Counter_Threshold_B_ECT","000dfaa8","2dtable "
"Tip_In_Unknown_A","000dfab4","2dtable "
"DiPi_a1d0_ECT_2dmtable_000dfad4","000dfad4","2dmtable "
"DiPi_Fueling_ECT_Unknown_11A","000dfd0c","2dmtable "
"DiPi_Fueling_ECT_Unknown_11C","000dfd20","2dmtable "
"DiPi_Fueling_ECT_Unknown_11B","000dfd70","2dmtable "
"DiPi_Fueling_ECT_Unknown_14","000dfd84","2dtable_short "
"DiPi_Fueling_ECT_Unknown_28A","000dfde0","2dmtable "
"DiPi_Fueling_ECT_Unknown_29A","000dfdf4","2dmtable "
"DiPi_Fueling_ECT_Unknown_28C","000dfe08","2dmtable "
"DiPi_Fueling_ECT_Unknown_29C","000dfe1c","2dmtable "
"DiPi_Fueling_ECT_Unknown_18","000dfe30","2dtable_short "
"DiPi_Fueling_ECT_Unknown_23","000dfe64","2dmtable "
"DiPi_Fueling_ECT_Unknown_24","000dfe78","2dmtable "
"DiPi_Fueling_ECT_Unknown_25","000dfe8c","2dmtable "
"DiPi_Fueling_ECT_Unknown_26","000dfea0","2dmtable "
"DiPi_Fueling_ECT_Unknown_19","000dfeb4","2dmtable "
"DiPi_Fueling_ECT_Unknown_20","000dfec8","2dmtable "
"DiPi_Fueling_ECT_Unknown_21","000dfedc","2dmtable "
"DiPi_Fueling_ECT_Unknown_22","000dfef0","2dmtable "
"DiPi_Fueling_ECT_Unknown_28B","000dff2c","2dmtable "
"DiPi_Fueling_ECT_Unknown_29B","000dff40","2dmtable "
"CL_Fueling_Transient_Unknown_W_s2_DiPi","000e0008","2dmtable "
"CL_Fueling_Transient_Unknown_S_s1_DiPi","000e001c","2dmtable "
"CL_Fueling_Transient_Unknown_ZD_za2_DiPi","000e0030","2dmtable "
"CL_Fueling_Transient_Unknown_ZA_za1_DiPi","000e0044","2dmtable "
